WKT;ID;NOMBRE
LINESTRING (-58.446066327210737 -34.644479765551438,-58.449195843332028 -34.64727608047609,-58.444422087748983 -34.651031344515943,-58.441275445886383 -34.658396733116518,-58.441570866783927 -34.658640944528486,-58.436725027453271 -34.662446154773761,-58.436182619084583 -34.662884515373939,-58.435092674128271 -34.664211879102744,-58.434340352889748 -34.666058175791335,-58.431656482678243 -34.670208232897387);1;Aº San Pedrito
LINESTRING (-58.4200535221309 -34.660243728908945,-58.423508253546053 -34.657181080763131,-58.422842252323413 -34.656823058120565,-58.431270503847763 -34.650808612573812,-58.430377631898843 -34.649967259639276,-58.434865007446952 -34.646378203718605,-58.434911812882966 -34.646262266198775,-58.436600770629298 -34.641511311760922);2;Aº Erezcano
LINESTRING (-58.410956113563607 -34.658696794925405,-58.413608203129698 -34.653556776615019,-58.413777350524306 -34.653417136312612,-58.415344866582352 -34.646973707006474,-58.416179042878746 -34.645916689154525,-58.416096449262099 -34.642861083855074);3;Aº Teuco
LINESTRING (-58.441043029989494 -34.67991583670139,-58.464397607554716 -34.660063155792599,-58.469446124741992 -34.656121951287901,-58.487157113074055 -34.652554078814049,-58.487531594372285 -34.652470185743489,-58.489006231772478 -34.652534351442476,-58.489185709319798 -34.652618129975473,-58.49437907896413 -34.65693340870515,-58.497778342149616 -34.659767272979472,-58.494437440841217 -34.662507100080596,-58.49892590598656 -34.66625413428681,-58.506492514348729 -34.672496468673408);4;Aº Cildañez
LINESTRING (-58.488860555045882 -34.652525201131191,-58.489728660417292 -34.6518035827456,-58.495339554666302 -34.647443863627004,-58.496833315463846 -34.646303008938553,-58.501720275851433 -34.642386091713092,-58.504575384560688 -34.640240349583607,-58.50568039437151 -34.639395339132975,-58.506493556757498 -34.63621336830267,-58.509208989993112 -34.634731915815308);5;Aliviador
LINESTRING (-58.409909735223472 -34.558035449066779,-58.419912160324905 -34.56561897918931,-58.422946998913766 -34.571266175993337,-58.426085571416436 -34.577519659848505,-58.426401005553565 -34.578104062577715,-58.426674818682301 -34.578366486281119,-58.427597069567568 -34.579439974533273,-58.428245542800433 -34.580191412873582,-58.428908464672297 -34.580895153050342,-58.429729983859986 -34.58162278180648,-58.430580366945499 -34.582314638585231,-58.432555102858828 -34.583746100729201,-58.436043480253836 -34.586298787545722,-58.43726878074267 -34.587217246801941,-58.437773323028416 -34.587598939543298,-58.437871601731629 -34.587756108510796,-58.438882690551715 -34.590687643334206,-58.439222986965973 -34.591145214068618,-58.439675517908675 -34.591546369430247,-58.447512837290525 -34.597012271774027,-58.45311920934283 -34.600857053608827,-58.458397407506077 -34.60439585710629,-58.458725479039011 -34.604657740496314,-58.461135940436279 -34.606328397422999,-58.463925372016185 -34.608206008238909,-58.464215784672774 -34.608413279092282,-58.466000481795177 -34.610348902277217,-58.471880299662175 -34.613426612495928,-58.472139472693883 -34.613650501102107,-58.472799750891596 -34.61465106324713,-58.473541072769557 -34.615761639574984,-58.474764794445534 -34.616496174344178,-58.477060167521195 -34.619185889156256,-58.478915477749794 -34.620172931232403,-58.480957314318999 -34.622242839217819,-58.483387448874211 -34.624130750725435,-58.486175329511305 -34.625220432015993,-58.491019934842569 -34.626957121046992,-58.496215441881276 -34.630459716993876,-58.499001679731194 -34.631406341132013,-58.500455916938222 -34.631941957123132,-58.504274307351047 -34.633583468990693,-58.505122967941993 -34.633961530616595,-58.50595961177897 -34.634214247052675,-58.5070445333604 -34.634421776719954,-58.508255651534462 -34.634601279593262,-58.509206893908811 -34.634729066033003,-58.509575962482856 -34.634771693866966,-58.510535019522322 -34.634797311406466,-58.511038055887425 -34.634680158486127,-58.511399555200562 -34.634498085309353,-58.512839951816119 -34.63387776525817,-58.513945839726333 -34.633405465712222,-58.514385992114413 -34.633314315283052,-58.514967614462648 -34.63318411784887,-58.515533546270071 -34.633105904268845,-58.516020910230033 -34.633092697224946,-58.517483026796562 -34.633092049271539,-58.518521075180324 -34.633063675273384,-58.518929430401784 -34.633104385993406,-58.519575342335173 -34.633229690228937,-58.519872784998888 -34.63318191719074,-58.520296327627882 -34.633161930966764,-58.520548899267212 -34.633298553004252,-58.520753408390625 -34.633480385232367,-58.522013673385899 -34.633930392460869,-58.524256910453133 -34.634475224633192,-58.529258104384368 -34.634844652399323,-58.530910725004205 -34.634774623148999);7;Aº Maldonado
LINESTRING (-58.44063807861243 -34.540196917001822,-58.445325163759691 -34.549715085330575,-58.444565931987874 -34.550607750460706,-58.448993494804213 -34.553226161042929,-58.454910565105308 -34.556748368960605,-58.460971187745393 -34.560349460825691,-58.465770002687002 -34.563149098243095,-58.463582788706184 -34.565741747193783,-58.462559865982008 -34.566921029016783,-58.463604572570226 -34.567551174582178,-58.465519860194441 -34.567263077333713,-58.466553710556369 -34.567884195749798,-58.467369836801986 -34.566902935524695,-58.468599587979433 -34.567650058759128,-58.468860781796508 -34.567875098992715,-58.469687886635683 -34.568370171318215,-58.472082192537499 -34.569801348409349,-58.471342264505424 -34.57070161521127,-58.474095831783949 -34.572339775019209,-58.473323253641475 -34.573240056498214,-58.476837937208771 -34.575286239454122,-58.477393995357552 -34.575841245681261);8;Aº Vega
LINESTRING (-58.449132455072423 -34.537836959376435,-58.451198713950568 -34.541736682985423,-58.456189396421863 -34.547630987617168,-58.455772375469301 -34.54803696243799,-58.457652296653457 -34.549008507634362,-58.456343628221575 -34.550774728248825,-58.455449030078817 -34.551798656613208,-58.458408301898622 -34.553315750235626);9;Aº White
LINESTRING (-58.458639306604255 -34.53716182582999,-58.459594141858894 -34.537866602321373,-58.463155566246805 -34.54141173812333,-58.464315728580544 -34.543649621398863,-58.465088568623401 -34.545853892931127,-58.465312043009995 -34.546351226389135,-58.465638562993895 -34.546746071348544,-58.466392076137467 -34.547514973873511,-58.467328740856779 -34.548008120226719,-58.468505520685824 -34.548435206134187,-58.475216763782591 -34.549752631308237,-58.48281853688993 -34.551193807596924,-58.484030598563187 -34.54961393206068,-58.484889778020538 -34.550018073765536,-58.488513958610682 -34.551866932350613,-58.488959165531504 -34.552013578195023,-58.489271088106641 -34.552347346431922,-58.494641784008884 -34.555123566350218,-58.504936752488327 -34.560926680628256,-58.506137732294263 -34.560416932573943);10;Aº Medrano
MULTILINESTRING ((-58.40556212494613 -34.598011944683392,-58.40415995230537 -34.595204413989549,-58.403058057026328 -34.592938708632751,-58.402409743453681 -34.590954566328442,-58.397577264308808 -34.58755257626548,-58.397327449884173 -34.587375257210873,-58.39493648431035 -34.585602097848209,-58.394526424132849 -34.585022417868217,-58.389580615596323 -34.577006282164675,-58.39811342808337 -34.572462117764978,-58.400048791089027 -34.569066148075819,-58.403133632758873 -34.570369959117187,-58.404889484808244 -34.571399153899435,-58.406063389104681 -34.572304257361047,-58.406131435898196 -34.572537070666122,-58.406276228890043 -34.5727461158965,-58.407629564941772 -34.574465467290565,-58.407955911073309 -34.575047301860714,-58.408385823724039 -34.575440142349578,-58.408589174543522 -34.575634598625463,-58.409150560402985 -34.576042230279327,-58.409353306292779 -34.576189445839638,-58.409598385514762 -34.576469224552767,-58.409720726493092 -34.576658989814064,-58.409780992622338 -34.576846313769266,-58.409901565165455 -34.577158528991426,-58.412736867096577 -34.581842165780309,-58.411061006976787 -34.581941181587261,-58.406259112493046 -34.583437615218031),(-58.399883221418428 -34.589178688415487,-58.401049010170468 -34.591636536277498,-58.402353519137662 -34.594441287609037,-58.4037195721451 -34.598326531305524),(-58.405273465026191 -34.588906316717207,-58.402088740060783 -34.586617107092152,-58.397034926522736 -34.582871513764047,-58.39606612200329 -34.581714214060938,-58.395954453833795 -34.581436527103001,-58.391985575183242 -34.575757173748151));6;Aº Ugarteche
